rank,score,popularity,title,type,source,genres,demographic,rating
225,8.38,2456,Yuru Camp△ Movie,movie,manga,"Adult Cast, CGDCT, Iyashikei, Slice of Life",,pg_13
226,8.38,488,Josee to Tora to Sakana-tachi,movie,novel,"Adult Cast, Drama, Romance, Visual Arts",,pg_13
227,8.38,138,Jujutsu Kaisen 0 Movie,movie,manga,"Action, School, Supernatural",Shounen,r
228,8.38,823,Kaze ga Tsuyoku Fuiteiru,tv,novel,"Adult Cast, Drama, Sports",,pg_13
229,8.38,1644,Made in Abyss Movie 2: Hourou Suru Tasogare,movie,web_manga,"Adventure, Drama, Fantasy, Gore, Mystery, Sci-Fi",,r
230,8.38,104,Mahou Shoujo Madoka★Magica,tv,original,"Award Winning, Drama, Mahou Shoujo, Psychological, Suspense",,pg_13
231,8.38,1258,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,movie,original,"Drama, Mahou Shoujo, Psychological, Suspense",,pg_13
232,8.38,3702,Blue Giant,movie,manga,Music,Seinen,pg_13
233,8.38,651,Cowboy Bebop: Tengoku no Tobira,movie,original,"Action, Adult Cast, Sci-Fi, Space",,r
234,8.38,2464,Gintama°: Aizome Kaori-hen,ova,manga,"Comedy, Gag Humor, Parody",Shounen,pg_13
235,8.37,315,3-gatsu no Lion,tv,manga,"Childcare, Drama, Strategy Game",Seinen,pg_13
236,8.37,1096,Chihayafuru 2,tv,manga,"Drama, Love Polygon, Romance, School, Sports, Strategy Game",Josei,pg_13
237,8.37,174,Haikyuu!! To the Top,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
238,8.37,9032,Tunshi Xingkong 4th Season,ona,web_novel,"Action, Adventure, Fantasy, Martial Arts, Sci-Fi",,pg_13
239,8.37,1311,Karakai Jouzu no Takagi-san 3,tv,manga,"Comedy, Love Status Quo, Romance, School",Shounen,pg_13
240,8.37,2763,Medalist,tv,manga,"Drama, Performing Arts, Sports",Seinen,pg_13
241,8.36,607,Initial D First Stage,tv,manga,"Action, Drama, Racing",Seinen,pg_13
242,8.36,763,K-On! Movie,movie,4_koma_manga,"Award Winning, CGDCT, Comedy, Music",,pg_13
243,8.36,1261,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),movie,light_novel,"Action, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",,r+
244,8.36,645,Kaze no Tani no Nausicaä,movie,manga,"Adventure, Award Winning, Drama, Fantasy",,pg_13
245,8.36,432,Kizumonogatari I: Tekketsu-hen,movie,light_novel,"Action, Mystery, Supernatural, Vampire",,r
246,8.36,329,Barakamon,tv,web_manga,"Childcare, Iyashikei, Slice of Life, Visual Arts",,pg_13
247,8.36,1927,Cross Game,tv,manga,"Drama, Romance, School, Sports, Team Sports",Shounen,pg_13
248,8.36,11900,Fanren Xiu Xian Chuan: Waihai Fengyun,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
249,8.36,1977,Fruits Basket: Prelude,movie,manga,"Drama, Romance",Shoujo,pg_13
250,8.36,4915,Girls & Panzer: Saishuushou Part 4,movie,original,"CGDCT, Military, School",,pg_13
251,8.36,1967,Girls Band Cry,tv,original,"Drama, Music",,pg_13
252,8.36,45,Shinseiki Evangelion,tv,original,"Avant Garde, Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense",,pg_13
253,8.35,2167,Versailles no Bara,tv,manga,"Crossdressing, Drama, Historical, Military, Romance",Shoujo,pg_13
254,8.35,736,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",special,light_novel,Drama,,pg_13
255,8.35,272,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,tv,light_novel,"Comedy, Love Polygon, Romance, School",,pg_13
256,8.35,1872,Non Non Biyori Nonstop,tv,manga,"CGDCT, Iyashikei, Slice of Life",Seinen,pg_13
257,8.35,2209,Ashita no Joe,tv,manga,"Combat Sports, Drama, Sports",Shounen,pg_13
258,8.35,201,Baccano!,tv,light_novel,"Action, Adult Cast, Historical, Mystery, Organized Crime, Supernatural",,r
259,8.35,5024,Douluo Dalu 2nd Season,ona,novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
260,8.35,194,Fumetsu no Anata e,tv,manga,"Adventure, Drama, Supernatural",Shounen,r
261,8.35,2798,Gintama: Shiroyasha Koutan,special,manga,"Action, Comedy, Historical, Parody, Sci-Fi",,pg_13
262,8.34,210,86,tv,light_novel,"Drama, Mecha, Military, Sci-Fi",,r
263,8.34,182,Hellsing Ultimate,ova,manga,"Action, Adult Cast, Gore, Horror, Military, Supernatural, Vampire",Seinen,r
264,8.34,1077,Hibike! Euphonium 2,tv,novel,"Drama, Music, Performing Arts, School",,pg_13
265,8.34,162,Tensei shitara Slime Datta Ken 2nd Season,tv,manga,"Action, Comedy, Fantasy, Isekai, Reincarnation",Shounen,pg_13
266,8.34,1275,Yofukashi no Uta Season 2,tv,manga,"Romance, Supernatural, Vampire",Shounen,pg_13
267,8.34,5647,IDOLiSH7 Third Beat! Part 2,tv,game,"Drama, Idols (Male), Music",,pg_13
268,8.34,205,Kimetsu no Yaiba: Mugen Ressha-hen,tv,manga,"Action, Historical, Supernatural",Shounen,r
269,8.34,466,Kono Subarashii Sekai ni Shukufuku wo! 3,tv,light_novel,"Adventure, Comedy, Fantasy, Isekai, Parody",,pg_13
270,8.34,5587,Meitantei Conan Movie 26: Kurogane no Submarine,movie,manga,"Action, Detective, Mystery",Shounen,pg_13
271,8.34,89,Mushoku Tensei: Isekai Ittara Honki Dasu,tv,light_novel,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",,r
272,8.33,2560,Natsume Yuujinchou: Itsuka Yuki no Hi ni,ova,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
273,8.33,70,Psycho-Pass,tv,original,"Action, Adult Cast, Detective, Mystery, Psychological, Sci-Fi, Suspense",,r
274,8.33,726,Bakuman. 2nd Season,tv,manga,"Comedy, Drama, Otaku Culture, Romance",Shounen,pg_13
275,8.33,128,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,tv,light_novel,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel",,r
276,8.33,5543,Wu Shan Wu Xing: Xichuan Huan Zi Lin,ona,original,"Action, Fantasy, Historical, Martial Arts",,r
277,8.32,476,Usagi Drop,tv,manga,"Childcare, Iyashikei, Slice of Life",Josei,pg_13
278,8.32,2623,Kidou Senshi Gundam: The Origin,ova,manga,"Mecha, Military, Sci-Fi, Space",Shounen,r+
279,8.32,43,Kiseijuu: Sei no Kakuritsu,tv,manga,"Action, Gore, Horror, Psychological, Sci-Fi, Suspense",Seinen,r
280,8.32,4109,Luo Xiaohei Zhanji (Movie),movie,original,"Adventure, Drama, Fantasy",,g
281,8.32,1073,One Outs,tv,manga,"Adult Cast, Psychological, Sports, Suspense, Team Sports",Seinen,pg_13
282,8.32,97,Bakemonogatari,tv,light_novel,"Mystery, Romance, Supernatural, Vampire",,r
283,8.32,5216,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,movie,manga,"Adventure, Comedy, Fantasy, Kids, Mecha",Shounen,pg
284,8.32,218,Fate/stay night: Unlimited Blade Works 2nd Season,tv,visual_novel,"Action, Fantasy, Urban Fantasy",,r
285,8.32,4856,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",,r
286,8.32,5574,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",,r
287,8.31,2924,Bocchi the Rock! Movie,movie,4_koma_manga,"CGDCT, Comedy, Music",,pg_13
288,8.31,655,Dr. Stone: New World Part 2,tv,manga,"Adventure, Comedy",Shounen,pg_13
289,8.31,1885,Hunter x Hunter: Original Video Animation,ova,manga,"Action, Adventure, Fantasy",Shounen,pg_13
290,8.31,3307,Romeo no Aoi Sora,tv,novel,"Adventure, Drama, Historical",,pg_13
291,8.31,3226,Sasaki to Miyano Movie: Sotsugyou-hen,movie,manga,"Boys Love, Otaku Culture, School",,pg_13
292,8.31,2007,Uchuu Senkan Yamato 2199,ova,original,"Action, Adult Cast, Drama, Military, Sci-Fi, Space",,pg_13
293,8.31,2983,Major S6,tv,manga,"Sports, Team Sports",Shounen,pg_13
294,8.31,3440,Natsume Yuujinchou Go Specials,special,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
295,8.31,268,NHK ni Youkoso!,tv,novel,"Comedy, Drama, Otaku Culture, Psychological, Romance",,r+
296,8.3,1625,Initial D Final Stage,tv,manga,"Action, Drama, Racing",Seinen,pg_13
297,8.3,426,Natsume Yuujinchou,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
298,8.3,483,Ookami to Koushinryou II,tv,light_novel,"Adult Cast, Adventure, Drama, Romance, Supernatural",,pg_13
299,8.3,29,Boku dake ga Inai Machi,tv,manga,"Mystery, Psychological, Suspense, Time Travel",Seinen,r
300,8.3,1741,Diamond no Ace: Second Season,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
301,8.3,423,Evangelion Movie 2: Ha,movie,original,"Drama, Mecha, Psychological, Sci-Fi, Suspense",,r+
302,8.3,10450,Fanren Xiu Xian Chuan: Xinghai Feichi,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
303,8.3,3103,Shiguang Dailiren: Yingdu Pian,ona,original,"Adult Cast, Drama, Super Power, Time Travel",,pg_13
304,8.3,231,Tensei shitara Slime Datta Ken 2nd Season Part 2,tv,manga,"Action, Comedy, Fantasy, Isekai, Reincarnation",Shounen,pg_13
305,8.29,623,Redline,movie,original,"Action, Adult Cast, Racing, Sci-Fi",,r+
306,8.29,639,Sakamichi no Apollon,tv,manga,"Drama, Historical, Love Polygon, Music, Romance, School",Josei,pg_13
307,8.29,1598,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,movie,light_novel,"Drama, Romance, School, Supernatural",,pg_13
308,8.29,541,Steins;Gate: Oukoubakko no Poriomania,special,visual_novel,"Comedy, Sci-Fi, Time Travel",,pg_13
309,8.29,7529,Tunshi Xingkong 2nd Season,ona,web_novel,"Action, Adventure, Fantasy, Martial Arts, Sci-Fi",,pg_13
310,8.29,2388,Uma Musume: Pretty Derby Season 2,tv,game,"Anthropomorphic, Racing, Sports",,pg_13
311,8.29,951,Yuukoku no Moriarty Part 2,tv,manga,"Adult Cast, Historical, Mystery, Organized Crime, Psychological, Suspense",Shounen,r
312,8.29,417,Katanagatari,tv,light_novel,"Action, Adventure, Historical, Martial Arts, Romance",,r
313,8.29,2435,Kemono no Souja Erin,tv,novel,"Drama, Fantasy",,pg_13
314,8.29,1771,Kingdom 2nd Season,tv,manga,"Action, Historical, Military",Seinen,r
315,8.29,266,Kuroko no Basket 3rd Season,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
316,8.29,2600,Meitantei Conan Movie 06: Baker Street no Bourei,movie,manga,"Adventure, Detective, Mystery",Shounen,pg_13
317,8.29,73,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,tv,original,"Drama, Supernatural",,pg_13
318,8.29,727,Beck,tv,manga,"Drama, Music",Shounen,r
319,8.29,388,Given,tv,manga,"Boys Love, Drama, Music, School",,pg_13
320,8.28,4550,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,movie,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",,r
321,8.28,477,Rurouni Kenshin: Meiji Kenkaku Romantan,tv,manga,"Action, Comedy, Historical, Romance, Samurai",Shounen,pg_13
322,8.28,4373,Tanoshii Muumin Ikka,tv,book,"Adventure, Fantasy, Iyashikei, Kids, Slice of Life",,g
323,8.28,841,Tokyo Godfathers,movie,original,"Adult Cast, Award Winning, Childcare, Comedy, Drama",,r+
324,8.28,766,Kino no Tabi: The Beautiful World,tv,light_novel,"Adventure, Drama, Fantasy",,r
325,8.28,3968,Major: World Series,ova,manga,"Sports, Team Sports",Shounen,pg_13
326,8.28,15,Naruto: Shippuuden,tv,manga,"Action, Adventure, Fantasy, Martial Arts",Shounen,pg_13
327,8.27,494,Kage no Jitsuryokusha ni Naritakute! 2nd Season,tv,light_novel,"Action, Comedy, Fantasy, Isekai, Reincarnation",,r
328,8.27,340,Koukaku Kidoutai,movie,manga,"Adult Cast, Award Winning, Detective, Mecha, Mystery, Psychological, Sci-Fi, Suspense",Seinen,r+
329,8.27,2345,Diamond no Ace: Act II,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
330,8.27,929,Doukyuusei,movie,manga,"Boys Love, School",,pg_13
331,8.27,1693,Gin no Saji 2nd Season,tv,manga,"Comedy, School",Shounen,pg_13
332,8.27,3623,Gintama: Shinyaku Benizakura-hen,special,manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
333,8.27,156,Tenki no Ko,movie,original,"Award Winning, Drama, Romance, Supernatural",,pg_13
334,8.26,1142,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",tv,manga,"Action, Adventure, Fantasy, Video Game",Shounen,pg_13
335,8.26,542,Shirobako,tv,original,"Adult Cast, Award Winning, Comedy, Drama, Otaku Culture, Workplace",,pg_13
336,8.26,1495,Space☆Dandy 2nd Season,tv,original,"Adult Cast, Comedy, Sci-Fi, Space",,pg_13
337,8.26,1024,Spy x Family Season 3,tv,manga,"Action, Childcare, Comedy, Super Power",Shounen,pg_13
338,8.26,955,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,tv_special,visual_novel,"Sci-Fi, Suspense, Time Travel",,pg_13
339,8.26,464,Tenkuu no Shiro Laputa,movie,original,"Adventure, Award Winning, Fantasy",,pg
340,8.26,2324,Tsubasa: Tokyo Revelations,ova,manga,"Action, Adventure, Drama, Fantasy, Romance",Shounen,r
341,8.26,461,Yuru Camp△,tv,manga,"CGDCT, Iyashikei, Slice of Life",,pg_13
342,8.26,107,Dororo,tv,manga,"Action, Adventure, Fantasy, Historical, Mythology, Samurai",Shounen,r
343,8.26,7086,Doupo Cangqiong 4th Season,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts, Romance",,pg_13
344,8.26,49,Dr. Stone,tv,manga,"Adventure, Comedy",Shounen,pg_13
345,8.26,83,Fate/Zero,tv,light_novel,"Action, Fantasy, Urban Fantasy",,r
346,8.26,688,Gyakkyou Burai Kaiji: Ultimate Survivor,tv,manga,"Adult Cast, High Stakes Game, Psychological, Strategy Game, Suspense",Seinen,r
347,8.26,2292,Haikyuu!! Movie 4: Concept no Tatakai,movie,manga,"School, Sports, Team Sports",Shounen,pg_13
348,8.26,240,Hotarubi no Mori e,movie,manga,"Award Winning, Drama, Romance, Supernatural",Shoujo,g
349,8.25,988,Dr. Stone: Science Future,tv,manga,"Adventure, Comedy",Shounen,pg_13
350,8.25,960,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,tv,light_novel,"Action, Adventure, Fantasy",,r
351,8.25,1692,Hajime no Ippo: Champion Road,tv_special,manga,"Combat Sports, Sports",Shounen,pg_13
352,8.25,1999,Hajime no Ippo: Mashiba vs. Kimura,ova,manga,"Combat Sports, Sports",Shounen,pg_13
353,8.25,1683,Hunter x Hunter: Greed Island Final,ova,manga,"Action, Adventure, Fantasy",Shounen,pg_13
354,8.25,1229,Kuroshitsuji Movie: Book of the Atlantic,movie,manga,"Action, Historical, Mystery, Mythology, Supernatural",Shounen,r
355,8.25,824,Nodame Cantabile,tv,manga,"Adult Cast, Comedy, Music, Performing Arts, Romance",Josei,pg_13
356,8.25,530,Suzume no Tojimari,movie,original,"Adventure, Mythology, Supernatural",,pg_13
357,8.25,144,Tonari no Totoro,movie,original,"Adventure, Award Winning, Supernatural",,g
358,8.25,5811,Wu Liuqi: Jiyi Suipian,ona,original,"Action, Adventure, Comedy, Drama, Mystery, Sci-Fi, Supernatural",,r
359,8.24,23,Re:Zero kara Hajimeru Isekai Seikatsu,tv,light_novel,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel",,r
360,8.24,1320,Sennen Joyuu,movie,original,"Action, Adult Cast, Adventure, Award Winning, Drama, Fantasy, Historical, Romance, Showbiz",,pg_13
361,8.24,269,Shinsekai yori,tv,novel,"Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi, Suspense",,r
362,8.24,677,Shoujo Shuumatsu Ryokou,tv,web_manga,"Adventure, Iyashikei, Mystery, Sci-Fi, Slice of Life",,pg_13
363,8.24,760,Stranger: Mukou Hadan,movie,original,"Action, Adventure, Historical, Samurai",,r
364,8.24,1858,World Trigger 3rd Season,tv,manga,"Action, Sci-Fi",Shounen,pg_13
365,8.24,4086,Wu Liuqi: Anying Suming,ona,original,"Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power",,r
366,8.24,1196,Golden Kamuy 2nd Season,tv,manga,"Action, Adult Cast, Adventure, Historical, Military",Seinen,r
367,8.24,1294,Gyakkyou Burai Kaiji: Hakairoku-hen,tv,manga,"Adult Cast, High Stakes Game, Psychological, Strategy Game, Suspense",Seinen,r
368,8.24,345,Kaijuu 8-gou,tv,manga,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Urban Fantasy",Shounen,pg_13
369,8.24,556,Kamisama Hajimemashita◎,tv,manga,"Comedy, Mythology, Romance, Supernatural",Shoujo,pg_13
370,8.24,77,Kono Subarashii Sekai ni Shukufuku wo! 2,tv,light_novel,"Adventure, Comedy, Fantasy, Isekai, Parody",,pg_13
371,8.24,4286,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,tv_special,manga,"Adventure, Comedy, Detective, Mystery",Shounen,pg_13
372,8.24,5562,Mononoke Movie 2: Hinezumi,movie,original,"Adult Cast, Historical, Horror, Mystery, Mythology, Psychological, Supernatural, Suspense",,r
373,8.24,991,Planetes,tv,manga,"Adult Cast, Award Winning, Drama, Romance, Sci-Fi, Space, Workplace",Seinen,pg_13
374,8.23,4791,IDOLiSH7 Third Beat!,tv,game,"Drama, Idols (Male), Music",,pg_13
375,8.23,259,Kage no Jitsuryokusha ni Naritakute!,tv,light_novel,"Action, Comedy, Fantasy, Isekai, Reincarnation",,r
376,8.23,1661,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,tv,original,"Drama, Mecha, Sci-Fi, Space",,r
377,8.23,1327,Kono Sekai no Katasumi ni,movie,manga,"Award Winning, Drama, Historical",Seinen,pg_13
378,8.23,372,Majo no Takkyuubin,movie,novel,"Adventure, Award Winning, Comedy, Drama, Fantasy",,g
379,8.23,2585,Non Non Biyori Movie: Vacation,movie,manga,"CGDCT, Iyashikei, Slice of Life",Seinen,pg_13
380,8.23,48,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,tv,light_novel,"Drama, Romance, School, Supernatural",,pg_13
381,8.23,8035,Shen Yin Wangzuo 2nd Season,ona,web_novel,"Action, Adventure, Fantasy",,pg_13
382,8.23,1138,Shoujo Kakumei Utena,tv,original,"Award Winning, Drama, Mahou Shoujo, Psychological, School",,pg_13
383,8.23,10273,Yi Nian Yong Heng 3rd Season,ona,web_novel,"Action, Adventure, Comedy, Fantasy, Historical, Martial Arts",,pg_13
384,8.23,859,Youjo Senki Movie,movie,light_novel,"Action, Fantasy, Isekai, Military, Reincarnation",,r
385,8.23,3998,BanG Dream! It's MyGO!!!!!,tv,mixed_media,"Drama, Music",,pg_13
386,8.23,236,Danshi Koukousei no Nichijou,tv,web_manga,"Comedy, Gag Humor, School",,pg_13
387,8.22,569,Bakemono no Ko,movie,original,"Anthropomorphic, Fantasy, Isekai",,pg_13
388,8.22,284,Boku no Hero Academia 6th Season,tv,manga,"Action, School, Super Power",Shounen,pg_13
389,8.22,710,Gachiakuta,tv,manga,"Action, Fantasy",Shounen,pg_13
390,8.22,1650,Liz to Aoi Tori,movie,novel,"Award Winning, Drama, Music, Performing Arts, School",,pg_13
391,8.22,1277,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,movie,original,"Drama, Mahou Shoujo, Psychological, Suspense",,pg_13
392,8.22,662,Mimi wo Sumaseba,movie,manga,"Drama, Romance",Shoujo,g
393,8.22,6047,Mushen Ji,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
394,8.22,1915,Nodame Cantabile Finale,tv,manga,"Adult Cast, Comedy, Music, Performing Arts, Romance",Josei,pg_13
395,8.22,264,Trigun,tv,manga,"Action, Adult Cast, Adventure, Sci-Fi",Shounen,pg_13
396,8.22,2404,Wu Liuqi: Zui Qiang Fa Xing Shi,ona,original,"Action, Comedy, Drama, Martial Arts, Mystery, Super Power",,pg_13
397,8.21,586,ReLIFE: Kanketsu-hen,special,web_manga,"Drama, Romance, School",,pg_13
398,8.21,1131,Saiki Kusuo no Ψ-nan: Kanketsu-hen,tv_special,manga,"Comedy, Gag Humor, School, Super Power",Shounen,pg_13
399,8.21,635,Sono Bisque Doll wa Koi wo Suru Season 2,tv,manga,"Otaku Culture, Romance, School",Seinen,pg_13
400,8.21,158,Spy x Family Part 2,tv,manga,"Action, Childcare, Comedy, Super Power",Shounen,pg_13
401,8.21,404,Tengoku Daimakyou,tv,manga,"Adventure, Mystery, Sci-Fi",Seinen,r
402,8.21,1134,Berserk: Ougon Jidai-hen III - Kourin,movie,manga,"Action, Adventure, Drama, Fantasy, Gore, Horror, Military, Psychological",Seinen,r+
403,8.21,622,Boku no Kokoro no Yabai Yatsu,tv,manga,"Comedy, Romance, School",Shounen,pg_13
404,8.21,2030,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,movie,manga,"Award Winning, Comedy, Drama, Mahou Shoujo, Romance",Shoujo,pg
405,8.21,212,Fruits Basket 1st Season,tv,manga,"Drama, Love Polygon, Romance, School, Supernatural",Shoujo,pg_13
406,8.21,1068,Kaguya-hime no Monogatari,movie,other,"Award Winning, Fantasy, Historical",,r+
407,8.21,407,Kobayashi-san Chi no Maid Dragon S,tv,manga,"Slice of Life, Supernatural",,pg_13
408,8.21,2822,Major S3,tv,manga,"Sports, Team Sports",Shounen,pg_13
409,8.21,318,Mushoku Tensei II: Isekai Ittara Honki Dasu,tv,light_novel,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",,r
410,8.21,243,Ookami to Koushinryou,tv,light_novel,"Adult Cast, Adventure, Drama, Romance, Supernatural",,pg_13
411,8.2,908,InuYasha: Kanketsu-hen,tv,manga,"Action, Adventure, Fantasy, Historical, Love Polygon, Mythology, Romance, Time Travel",Shounen,pg_13
412,8.2,216,Kuroko no Basket 2nd Season,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
413,8.2,227,Magi: The Kingdom of Magic,tv,manga,"Action, Adventure, Fantasy",Shounen,pg_13
414,8.2,2657,Maison Ikkoku,tv,manga,"Adult Cast, Comedy, Drama, Romance",Seinen,r+
415,8.2,2222,Major S1,tv,manga,"Sports, Team Sports",Shounen,pg_13
416,8.2,3037,Meitantei Conan Movie 13: Shikkoku no Chaser,movie,manga,"Action, Detective, Mystery",Shounen,pg_13
417,8.2,167,Ore dake Level Up na Ken,tv,web_manga,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",,r
418,8.2,1163,SKET Dance,tv,manga,"Comedy, School",Shounen,pg_13
419,8.2,1695,xxxHOLiC◆Kei,tv,manga,"Comedy, Drama, Mystery, Supernatural",Seinen,pg_13
420,8.2,145,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,tv,light_novel,"Comedy, Love Polygon, Romance, School",,pg_13
421,8.2,834,Yubisaki to Renren,tv,manga,"Adult Cast, Romance",Shoujo,pg_13
422,8.2,334,Bungou Stray Dogs 3rd Season,tv,manga,"Action, Adult Cast, Detective, Mystery, Organized Crime, Super Power",Seinen,r
423,8.2,558,Dragon Ball Super: Broly,movie,manga,"Action, Adventure, Fantasy, Martial Arts",Shounen,pg_13
424,8.2,114,Dragon Ball Z,tv,manga,"Action, Adventure, Comedy, Fantasy, Martial Arts",Shounen,pg_13
425,8.2,2237,Haikyuu!! Movie 3: Sainou to Sense,movie,manga,"School, Sports, Team Sports",Shounen,pg_13
426,8.19,468,Asobi Asobase,tv,manga,"Comedy, Gag Humor, School",Seinen,pg_13
427,8.19,12429,Cang Yuan Tu 2,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
428,8.19,1955,Girls & Panzer Movie,movie,original,"Action, Award Winning, CGDCT, Military, School",,pg_13
429,8.19,308,Great Pretender,tv,original,"Action, Adult Cast, Adventure, Mystery, Organized Crime",,r
430,8.19,82,Horimiya,tv,manga,"Romance, School",Shounen,pg_13
431,8.19,1062,Initial D Second Stage,tv,manga,"Action, Drama, Racing",Seinen,pg_13
432,8.19,4706,Mo Dao Zu Shi Q,ona,web_novel,"Comedy, Fantasy, Historical, Mythology, Reincarnation",,pg_13
433,8.19,2166,Quanzhi Gaoshou Specials,ona,web_novel,"Action, Video Game",,pg_13
434,8.19,1204,Sasaki to Miyano,tv,web_manga,"Boys Love, Otaku Culture, School",,pg_13
435,8.19,3791,Senki Zesshou Symphogear XV,tv,original,"Action, Idols (Female), Music, Sci-Fi",,pg_13
436,8.19,3919,Stand By Me Doraemon 2,movie,manga,"Comedy, Kids, Sci-Fi, Time Travel",,pg
437,8.19,804,Vanitas no Karte Part 2,tv,manga,"Action, Fantasy, Historical, Mystery, Urban Fantasy, Vampire",Shounen,r
438,8.19,7403,Yi Nian Yong Heng 2nd Season,ona,web_novel,"Action, Adventure, Fantasy, Historical, Martial Arts",,pg_13
439,8.18,1432,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,tv,light_novel,"Drama, Romance, School, Supernatural",,pg_13
440,8.18,2580,xxxHOLiC Rou,ova,manga,"Drama, Mystery, Supernatural",Seinen,pg_13
441,8.18,529,Cardcaptor Sakura,tv,manga,"Adventure, Comedy, Drama, Mahou Shoujo, Romance, School",Shoujo,pg
442,8.18,142,Fate/stay night: Unlimited Blade Works,tv,visual_novel,"Action, Fantasy, Urban Fantasy",,r
443,8.18,2315,Fate/strange Fake: Whispers of Dawn,tv_special,light_novel,"Action, Fantasy, Urban Fantasy",,r
444,8.18,2012,Hachimitsu to Clover II,tv,manga,"Adult Cast, Drama, Love Polygon, Romance, Visual Arts",Josei,pg_13
445,8.18,1499,Hunter x Hunter: Greed Island,ova,manga,"Action, Adventure, Fantasy",Shounen,pg_13
446,8.18,303,K-On!!,tv,4_koma_manga,"Award Winning, CGDCT, Comedy, Music, School",,pg_13
447,8.18,1651,Made in Abyss Movie 1: Tabidachi no Yoake,movie,web_manga,"Adventure, Drama, Fantasy, Gore, Mystery, Sci-Fi",,r
448,8.18,2926,Major S4,tv,manga,"Sports, Team Sports",Shounen,pg_13
449,8.18,712,Meitantei Conan,tv,manga,"Adventure, Comedy, Detective, Mystery",Shounen,pg_13
450,8.18,1212,Nomad: Megalo Box 2,tv,original,"Adult Cast, Combat Sports, Sci-Fi, Sports",,r
451,8.18,1264,One Piece Movie 14: Stampede,movie,manga,"Action, Adventure, Fantasy",Shounen,pg_13
452,8.18,2686,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,tv_special,manga,"Action, Adventure, Fantasy",Shounen,pg_13
453,8.17,1299,Initial D Fourth Stage,tv,manga,"Action, Drama, Racing",Seinen,pg_13
454,8.17,2853,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",ova,manga,"Comedy, Mythology, Romance, Supernatural",Shoujo,pg_13
455,8.17,168,Kimetsu no Yaiba: Katanakaji no Sato-hen,tv,manga,"Action, Historical, Supernatural",Shounen,r
