rank,score,popularity,title,type,source,genres,demographic,rating
54,8.72,752,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,movie,manga,"Comedy, Drama, Romance, School",Seinen,pg_13
55,8.72,941,Mushishi Zoku Shou 2nd Season,tv,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
56,8.72,550,Shiguang Dailiren,ona,original,"Adult Cast, Drama, Mystery, Super Power, Suspense, Time Travel",,pg_13
57,8.72,398,86 Part 2,tv,light_novel,"Drama, Mecha, Military, Sci-Fi",,r
58,8.72,2434,Hibike! Euphonium 3,tv,novel,"Drama, Music, Performing Arts, School",,pg_13
59,8.71,934,Boku no Kokoro no Yabai Yatsu 2nd Season,tv,manga,"Comedy, Romance, School",Shounen,pg_13
60,8.71,22,Code Geass: Hangyaku no Lelouch,tv,original,"Award Winning, Drama, Mecha, Military, School, Sci-Fi, Super Power",,r
61,8.71,260,Mob Psycho 100 III,tv,web_manga,"Action, Comedy, Supernatural",,pg_13
62,8.71,2849,The First Slam Dunk,movie,manga,"Award Winning, School, Sports, Team Sports",Shounen,pg_13
63,8.71,1272,Tu Bian Yingxiong X,ona,original,"Action, Super Power",,pg_13
64,8.7,1360,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,tv,manga,"Adult Cast, Drama, Historical, Love Polygon, Performing Arts, Romance",Josei,pg_13
65,8.7,682,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,tv,manga,"Action, Adventure, Supernatural",Shounen,r
66,8.7,1066,Chi. Chikyuu no Undou ni Tsuite,tv,manga,"Drama, Historical",Seinen,r
67,8.7,906,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,movie,manga,"Action, Historical, Supernatural",Shounen,r
68,8.7,74,Kimetsu no Yaiba: Yuukaku-hen,tv,manga,"Action, Historical, Supernatural",Shounen,r
69,8.69,936,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,ova,manga,"Action, Adult Cast, Drama, Historical, Romance, Samurai",Shounen,r
70,8.69,46,Violet Evergarden,tv,light_novel,Drama,,pg_13
71,8.68,219,Great Teacher Onizuka,tv,manga,"Comedy, Delinquents, School, Workplace",Shounen,r
72,8.68,2411,Mo Dao Zu Shi: Wanjie Pian,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mystery, Mythology, Reincarnation",,r
73,8.68,850,Mushishi Zoku Shou,tv,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
74,8.68,3935,Uma Musume: Cinderella Gray Part 2,tv,manga,"Anthropomorphic, Drama, Racing, Sports",Seinen,pg_13
75,8.67,1007,Bleach: Sennen Kessen-hen - Soukoku-tan,tv,manga,"Action, Adventure, Supernatural",Shounen,r
76,8.67,863,Hajime no Ippo: New Challenger,tv,manga,"Combat Sports, Sports",Shounen,pg_13
77,8.67,99,Howl no Ugoku Shiro,movie,novel,"Adventure, Award Winning, Drama, Fantasy, Romance",,g
78,8.67,106,Mononoke Hime,movie,original,"Action, Adventure, Award Winning, Fantasy",,pg_13
79,8.65,2372,Monogatari Series: Off & Monster Season,ona,light_novel,"Comedy, Mystery, Supernatural, Vampire",,r
80,8.65,222,Mushishi,tv,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
81,8.65,3119,Tian Guan Cifu Er,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mythology",,pg_13
82,8.64,24,Shigatsu wa Kimi no Uso,tv,manga,"Drama, Love Polygon, Music, Performing Arts, Romance, School",Shounen,pg_13
83,8.64,1624,Shiguang Dailiren II,ona,original,"Adult Cast, Drama, Mystery, Super Power, Suspense, Time Travel",,r
84,8.64,18,Shingeki no Kyojin Season 3,tv,manga,"Action, Drama, Gore, Military, Survival, Suspense",Shounen,r
85,8.64,65,Tengen Toppa Gurren Lagann,tv,original,"Adventure, Award Winning, Mecha, Sci-Fi",,pg_13
86,8.64,3844,Uma Musume: Pretty Derby - Shin Jidai no Tobira,movie,game,"Anthropomorphic, Racing, Sports",,pg_13
87,8.64,668,Fate/stay night Movie: Heaven's Feel - III. Spring Song,movie,visual_novel,"Action, Fantasy, Urban Fantasy",,r
88,8.63,1560,Guimi Zhi Zhu: Xiaochou Pian,ona,web_novel,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense",,r
89,8.63,1279,Look Back,movie,manga,"Drama, Otaku Culture",Shounen,pg_13
90,8.63,91,Made in Abyss,tv,web_manga,"Adventure, Drama, Fantasy, Gore, Mystery, Sci-Fi",,r
91,8.63,1046,Natsume Yuujinchou Shi,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
92,8.63,510,Odd Taxi,tv,original,"Adult Cast, Anthropomorphic, Award Winning, Drama, Mystery, Organized Crime, Suspense",,pg_13
93,8.63,603,Ping Pong the Animation,tv,manga,"Award Winning, Drama, Sports",Seinen,pg_13
94,8.62,98,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,tv,manga,"Comedy, Romance, School",Seinen,pg_13
95,8.62,161,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,tv,light_novel,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",,r
96,8.62,187,Cyberpunk: Edgerunners,ona,game,"Action, Gore, Organized Crime, Sci-Fi",,r+
97,8.62,2,Death Note,tv,manga,"Psychological, Supernatural, Suspense",Shounen,r
98,8.62,85,Haikyuu!! Second Season,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
99,8.61,1106,Bungou Stray Dogs 5th Season,tv,manga,"Action, Adult Cast, Detective, Mystery, Organized Crime, Super Power, Vampire",Seinen,r
100,8.61,1292,Haikyuu!! Movie: Gomisuteba no Kessen,movie,manga,"School, Sports, Team Sports",Shounen,pg_13
101,8.61,928,Hajime no Ippo: Rising,tv,manga,"Combat Sports, Sports",Shounen,pg_13
102,8.61,708,Kaoru Hana wa Rin to Saku,tv,web_manga,"Drama, Romance, School",,pg_13
103,8.61,301,Kenpuu Denki Berserk,tv,manga,"Action, Adventure, Drama, Fantasy, Gore, Horror, Military, Psychological",Seinen,r+
104,8.61,1338,Natsume Yuujinchou Roku,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
105,8.6,471,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,movie,web_manga,"Adventure, Drama, Fantasy, Gore, Mystery, Sci-Fi",,r
106,8.6,473,Made in Abyss: Retsujitsu no Ougonkyou,tv,web_manga,"Adventure, Drama, Fantasy, Gore, Mystery, Sci-Fi",,r
107,8.6,324,Ore dake Level Up na Ken Season 2: Arise from the Shadow,tv,web_manga,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",,r
108,8.6,1174,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,movie,original,"Mecha, Sci-Fi, Space, Super Power",,r+
109,8.59,274,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,movie,light_novel,"Drama, Romance, School, Supernatural",,pg_13
110,8.59,376,Suzumiya Haruhi no Shoushitsu,movie,light_novel,"Award Winning, Mystery, School, Sci-Fi, Supernatural",,pg_13
111,8.59,454,Dungeon Meshi,tv,manga,"Adventure, Comedy, Fantasy, Gourmet",Seinen,r
112,8.58,628,Shin Evangelion Movie:||,movie,original,"Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense",,pg_13
113,8.58,147,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,tv,manga,"Action, Adventure, Organized Crime, Super Power",Shounen,r
114,8.58,1839,Mushishi Zoku Shou: Suzu no Shizuku,movie,manga,"Adult Cast, Adventure, Historical, Iyashikei, Mystery, Slice of Life, Supernatural",Seinen,pg_13
115,8.58,3301,Natsume Yuujinchou Shichi,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
116,8.57,296,Nana,tv,manga,"Adult Cast, Drama, Love Polygon, Music, Romance",Shoujo,r+
117,8.57,1,Shingeki no Kyojin,tv,manga,"Action, Award Winning, Drama, Gore, Military, Survival, Suspense",Shounen,r
118,8.57,2751,Uma Musume: Cinderella Gray,tv,manga,"Anthropomorphic, Drama, Racing, Sports",Seinen,pg_13
119,8.56,178,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",movie,original,"Avant Garde, Drama, Mecha, Psychological, Sci-Fi, Suspense",,r+
120,8.56,217,Haikyuu!! To the Top Part 2,tv,manga,"School, Sports, Team Sports",Shounen,pg_13
121,8.56,527,Kizumonogatari II: Nekketsu-hen,movie,light_novel,"Action, Mystery, Supernatural, Vampire",,r
122,8.56,1339,Natsume Yuujinchou Go,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
123,8.56,1017,Natsume Yuujinchou San,tv,manga,"Iyashikei, Mythology, Slice of Life, Supernatural",Shoujo,pg_13
124,8.56,247,Ookami Kodomo no Ame to Yuki,movie,original,"Award Winning, Childcare, Slice of Life, Supernatural",,pg_13
125,8.55,68,Kimetsu no Yaiba Movie: Mugen Ressha-hen,movie,manga,"Action, Historical, Supernatural",Shounen,r
126,8.55,160,Kimi no Suizou wo Tabetai,movie,novel,"Drama, Romance, School",,pg_13
